ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,0BB3B08A627E7A0C6EBB85643DA1539C13EF31B7.STORY,SYSSUM.TXT,0.59259,0.13974,0.22615,1
ROUGE-1,08C510881AA5BF516E1B00F7F0C68163ED904FC4.STORY,SYSSUM.TXT,0.69091,0.15385,0.25166,1
ROUGE-1,0FF0299121AA9D1F0DDBE1FB0E9ABB797C81B8FF.STORY,SYSSUM.TXT,0.65789,0.11161,0.19084,1
ROUGE-1,1329124D6D31E0FD4A1D3781B5F02D54C91F4F40.STORY,SYSSUM.TXT,0.52174,0.17518,0.26230,1
ROUGE-1,10EEBF0BDFECAFCA7E403033163F150ED153F1A4.STORY,SYSSUM.TXT,0.76596,0.19565,0.31169,1
ROUGE-1,018501C9C6ED4C802553D3CF2C0A4AEBF5040F96.STORY,SYSSUM.TXT,0.51923,0.10227,0.17089,1
ROUGE-1,1415DDB7870661A9DC4CA3D070517C85B49667FA.STORY,SYSSUM.TXT,0.81818,0.26316,0.39823,1
ROUGE-1,064E8779934796D409CBD53593D93F8100D48AE1.STORY,SYSSUM.TXT,0.53191,0.09579,0.16234,1
ROUGE-1,192F7ECEEFB2176D10B375533D6267E000E13250.STORY,SYSSUM.TXT,0.79545,0.12069,0.20958,1
ROUGE-1,074A9F0F9137346949589B46EBF46D316BEE913B.STORY,SYSSUM.TXT,0.73913,0.09742,0.17215,1
ROUGE-1,0DB29E8B14FCF560610BC056590CAABC61D1BC92.STORY,SYSSUM.TXT,0.38636,0.11409,0.17617,1
ROUGE-1,00F969ABBC42A459375391E05139630732905E07.STORY,SYSSUM.TXT,0.56522,0.11111,0.18571,1
ROUGE-1,1B6A6284215D1C9A1AA1E466C8C454B8639BE224.STORY,SYSSUM.TXT,0.65625,0.15441,0.25000,1
ROUGE-1,0C35CCEFE04F5410FC486968B98AA0ECFF54FE01.STORY,SYSSUM.TXT,0.51163,0.14379,0.22449,1
ROUGE-1,023B9CF4DFECA75635957A73408FDE39705C9D4F.STORY,SYSSUM.TXT,0.44000,0.03943,0.07237,1
ROUGE-1,1843E0C83549B20E17FD61D40ED8FE29813DDE74.STORY,SYSSUM.TXT,0.60976,0.10121,0.17361,1
ROUGE-1,0EF9DC9C7A54F7D66194AD034642470CC308AC78.STORY,SYSSUM.TXT,0.71429,0.12727,0.21605,1
ROUGE-1,150CAA7C0D134C62B07EFCB2BCE5642055903967.STORY,SYSSUM.TXT,0.45455,0.05769,0.10239,1
ROUGE-1,0AC00A2E9FF0D833AD4B2E4E1A37D74651FE8BC2.STORY,SYSSUM.TXT,0.61905,0.13684,0.22414,1
ROUGE-1,13CB71901531CDD2C929667ACE7DFFFDBDE640B9.STORY,SYSSUM.TXT,0.60465,0.15029,0.24074,1
ROUGE-1,00AF3B469010E46F154734CFBA77BB001791517F.STORY,SYSSUM.TXT,0.59091,0.14130,0.22807,1
ROUGE-1,0F710DC73CE33FFA8457ABEA9E61F25A86461377.STORY,SYSSUM.TXT,0.43396,0.08779,0.14603,1
ROUGE-1,14033D900FA90B4284557D78EBFA3FEAF19E0A58.STORY,SYSSUM.TXT,0.43137,0.12500,0.19383,1
ROUGE-1,19BF992E7B5E3EAC256D4D30EAB51242107DDD4C.STORY,SYSSUM.TXT,0.59184,0.09732,0.16715,1
ROUGE-1,194274C363D32CA75081393F425C33D26101F0E9.STORY,SYSSUM.TXT,0.54839,0.16038,0.24818,1
ROUGE-1,13A3E1403EB47FA9E00C385177840BCABFC8975A.STORY,SYSSUM.TXT,0.41667,0.07075,0.12097,1
ROUGE-1,05688BAC0E46542BE65A6DF240428A6F26C86FD0.STORY,SYSSUM.TXT,0.52273,0.18110,0.26901,1
ROUGE-1,0A0AA464D262B903F44B0F8EAA67F13DD1946CFD.STORY,SYSSUM.TXT,0.63043,0.10140,0.17470,1
ROUGE-1,0AE858B67563C20D937C4A6F394DC0C56F9C24D3.STORY,SYSSUM.TXT,0.52632,0.06472,0.11527,1
ROUGE-1,102EB8311FC40D22BD42AD73D4DB290C70C19BC5.STORY,SYSSUM.TXT,0.80000,0.06957,0.12800,1
ROUGE-1,08407E8A4629FCFBEE9B3FEB32574FB36E3F47C9.STORY,SYSSUM.TXT,0.65517,0.09223,0.16170,1
ROUGE-1,0E77D551A3E938B1C36FD96515352F041B2AC240.STORY,SYSSUM.TXT,0.32258,0.05556,0.09479,1
ROUGE-1,18D34EED1EB891A0EEB28AF002DC0F85B0CA50A2.STORY,SYSSUM.TXT,0.43333,0.10924,0.17450,1
ROUGE-1,1495E7F82C0353203A54B45B42F0D3C0BCD85DF1.STORY,SYSSUM.TXT,0.43750,0.13208,0.20290,1
ROUGE-1,1668A8F95CE8B0B3DF00E6109B9623BAE86D994B.STORY,SYSSUM.TXT,0.48837,0.12209,0.19535,1
ROUGE-1,0513215B695AF3A78CA487416D6F2B8E45465E30.STORY,SYSSUM.TXT,0.60000,0.13408,0.21918,1
ROUGE-1,0DFD019839E385AAB5784A78B3AE94A0F89CCD5B.STORY,SYSSUM.TXT,0.62500,0.10246,0.17606,1
